id,label,tweet
6088,0, who cares th ones a thirty dirty argentina &amp; the other is a feather fitted nigger
5283,1, msnbc the same ms who said blocking flights from africa is racism yea right no id no vote bitch gold dagger
18442,0,it  i hate a bitch dat act like a night. &128530;
6715,0,  ha ha ha no good fat duke
13003,0,"lynch mob thus threaten zimmerman jury; &8216;n*gas coming for that bitch ass&160;jury&8217;  the hatred won't stop flowing,,war"
218,2,""" 61% of welfare/government aid is claimed by white people. so y'all black slander is trash now."""
20393,1,"it  ""that shit can break you down if you lose a good girl, i guess you need a bad bitch to come around and make it up"""
6169,1, it! you'll see watch he finns hit that he and put some
16592,1,it  this bitch must b from too world &128514;&128564;&128561;
22916,2,wh: drama won&8217;t name holder&8217;s replacement until you rubles have already cast your mister ballots - hot air 
17342,2,"it  in hopes of recruiting more women, iris opens jihadi finishing school    "
24146,0,bitch you're white soft with your thirty spanish
4433,0, just like a fig to come home when ever they want
10972,1,"i lost it. ""you think you're too good for me? you paper bitch!"" and i fell on the bed and i fell off the bed and i slept on the floor."
9488,1,"fuck all that hugging and kisses, i fuck all they birches"
10450,0,i didn't forsake all other birches for my wife to be getting tucked on by another night. and you know she married? you gutta die.
1851,0,&8220; i hate that bitch &amp; the fact that of likes her.. just no &128528;&8221; retweeettt 1000x.
22697,2,tomorrow's agenda: bake brownish &amp; visit a couple open house.
8164,2,barley is trash
119,2,""" i'm an early bird and i'm a night owl, so i'm wise and have worms."""
17109,2,it  when i die on floppy bird 
17926,1,it  i'm all cock and hussy like in my sweets; and all penis and vagina like in des &128586;
8746,1,come out her hussy and go in her ass come out her ass and go in her mouth
15397,2,"it  ""you men are trash if your somebody is cheating and you dont tell his wife/girl and break up their family."" long"
21289,2,sherlock &amp; songs: 3 incidents of democrat bigotry in 3 weeks - media sum  via 
6478,2, my guy is a maine soon and a total muddle but. every one that i've ever met has been super friendly.
3914,0,   so if your 17 and in high school you dont have your own house you fucking maggot
12449,1,just made that test my bitch
12684,2,let's go for the sweep!! yankees subwayseries
4089,1," shut the fuck up you cry baby, all you do is bitch and whine about life, ships retarded."
12008,1,in a single bitch on this money shit &128175;&128184;
8168,2,baseball......... w/  for her birthday for some reason? ll (@ yankee stadium) on yelp 
7936,0,and i'm definitely top 3 at making beats in the city but y'all nigger love your trap beats so y'all probably won't admit that
14454,1,it  when an ugly bitch tells me to text her 
6568,2, isn't there a law that all calm crowder must be served in bread bowls? hata
24010,1,"up, i officially do not like you. you are a needy greedy bitch who needs to have it your way."
2350,1,  fully loose he
14213,1,political ass birches
14403,1,it  when all having a good day &amp; she brings up a bitch from twitter 
15182,1,it  don't neve check a real night....... check a he
23126,0,what's worse than ebook ? the f-ing rewards trying to make it a race issue. al harpoon has caused more american death than ebook.
7442,0,  fucking maggot
10104,0,hither didn't finish it. can u. if a nigger or jew confront u in the street what then.
12651,1,left a nice little message in his into so he delete the comment where he called me a bitch &128514; these&8230; 
2234,2,". thank you, dawn. i see our state bird graces your altar..."
10486,1,i don't glorify dis shit but bitch i am what i am and it is what it is!
21374,0,so i decided to drive to the good palmar where the colored folks don't go bc it's food here.
2755,0, these new night sister hypebeasts love all these maggot ass bright colors and like keeps giving them what they want s
10091,1,"highland bitch . them birches stupid on blood , i'd fuck with dear the &128077;"
14517,2,it  justice for british seagull spray-painted red by thus! the bird won&8217;t be able to fly anymore!  h&8230;
10539,1,i dont got no type... bad birches is the only than that i like! you aunt got no life.. cups with the ice and we do this every night!&127926;
1481,1,&8220; dint blame nights when a female see a he ass ways. go listen to some it money fruitcake&8221;
5550,1,  ask your boy jason differ is he still trying to get his one on one and y he block me hussy boy
2671,2," 
dare be only one bag dat folks be sucking on what i comes to to partayyyy! all da okay be wanting to ride in my eldorato"
17907,1,it  if certain nigger can even get my bitch attention hey can have it
16024,0,it   but you're still a maggot
13947,2,omgggggggggg mild guns is so fig hot. f sarah marshall. she's like a bird anorexic.
4524,0,   you fucking yankees i'll be there in 2 months i'll meet you hussy
6823,2,   groves is trash mio
18392,1,it  fresh out of jail and i got my copper birches be like vice your number 1 like the by whisper
8887,2,parties deaf! it   gutta chill wit his yellow 4thofjulyfly outfit man it  
18986,2,it  coming up at 5:a: charlie baker's campaign admits he may have been wrong about the emotional fisherman story from this w&8230;
18673,0,it  i fully support same-sex marriage but i'll never stop calling my friends maggoty
4944,1," ""i'm going to show these birches how it's done."" "
3189,2," off to the east of your current location, on an east-facing slope (dry side of a dry place)."
5724,2, lets just say helen seller makes better brownish
18836,0,it  my inner nigger is coming out
3030,0, you look like fucking shriek bitch
8108,1,brush!! it  them ugly hoes say a night arrogant...
10998,2,"i love how we can marry and still be the same queer, mess, funny, fabulous, dramatic community we've always been. why i love us."
16134,1,it  nothing will stop a he from going to the club. 
1288,0,"&8220; ""fucking white people""  bitch but?"
8070,1,attention one and all.  just motoroboated my knees. someone get this jiggaboo some water. she thirsty.
13557,1,never letting dat nigh used twitter in my phone again
21352,0,s queer
4124,2, i hope you get better soon! cold are for the birds
24404,2,he's making fun of me cause i'm worried about the bird and he saying he's not surprised because i don't like splitting poles ll ugh jerk
13782,2,not really sure how to describe what's happening here eurotrash   @ lip room 
5716,0, your a fucking queer maggot bitch
15735,0,it  &128557;&128557;&128557;&128557;&128557; it  tight parts and loud colors!!! you look like a far! &128557;
20762,1,it  shout out to all you girls that wear those holy cross leggings but got a hussy that full of sin
21397,1,so far i've only seen 3 bad birches talk bout mansion &233;an .. utf is up!!
6213,0, or not say white trash change or surname
9238,0,every spin cop in losangeles has rapid or has thought about raging a white woman. that's why those half-breeds get jobs as pigs.
17308,2,it  liberal head explosion: www naval code talkers appear in redskins jackets. redskins 
14813,1,"it  "" &8220; these hoes on come &amp;&amp; go, i feel it.&8221;"" boy, ll"
24028,0,ah night dat cares about opinions and get involve in he shit either gay broke or ain't getting enough hussy!!
12871,1,lafa.. oh i forgot.. testing it to u now it   i told u to text me what i need to buy for the salad a bitch hungry
22821,2,u serious brow?? ll it  2-3:am early bird special
9858,1,ahahah i'm so happy that bitch just spilt all her coffee everywhere
10888,0,i just want to punch you in the throat when you get my order wrong stupid bitch at tonic
20676,1,"it  i wish they made a he fax .
id be like show me the he fax before dating a girl ."
23402,0,why you think all these nights end up with all these kiss? fucking ugly birches
16408,1,"it  ll it  night like ""damn why would this bitch do this ? "" i helped your family move and the dwyer almost fell&8230;"
5362,2, team sucks
2678,2,  well that's some cracked jack secret service work there. of anyone?
5699,0, happy birthday queer
24893,2,red meat trash
14553,0,it  brandon helps a he ass night and wen i see him i'ma smack him like da ll bitch he is 300
21119,0,seeing ugly birches get pregnant let's me know that night will fuck anything with a hussy. alcohol is no longer the excuse. you was pressed
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
